"","Author","Year","Title","Journal","Volume","Issue","Pages"
"51745","Hu, Z. M., Yu, G. R., Fu, Y. L., Sun, X. M., Li, Y. N., Shi, P. L., Wangw, Y. F. and Zheng, Z. M.",2008,"Effects of vegetation control on ecosystem water use efficiency within and among four grassland ecosystems in China","Global Change Biology","14"," 7 ","1609-1619"
"36910","Fraser, G. J., Graham, A. and Smith, M. M.",2004,"Conserved deployment of genes during odontogenesis across osteichthyans","Proceedings of the Royal Society B-Biological Sciences","271","1555","2311-2317"
"69804","Gosme, M., de Villemandy, M., Bazot, M. and Jeuffroy, M. H.",2012,"Local and neighbourhood effects of organic and conventional wheat management on aphids, weeds, and foliar diseases","Agriculture Ecosystems & Environment","161"," ","121-129"
"61017","Dubois, F., Morand-Ferron, J. and Giraldeau, L. A.",2010,"Learning in a game context: strategy choice by some keeps learning from evolving in others","Proceedings of the Royal Society B-Biological Sciences","277"," 1700 ","3609-3616"
"40018","Hurst, G. D. D. and Jiggins, F. M.",2005,"Problems with mitochondrial DNA as a marker in population, phylogeographic and phylogenetic studies: the effects of inherited symbionts","Proceedings of the Royal Society B-Biological Sciences","272","1572","1525-1534"
"67564","Seal, J. N., Gus, J. and Mueller, U. G.",2012,"Fungus-gardening ants prefer native fungal species: do ants control their crops?","Behavioral Ecology","23"," 6 ","1250-1256"
"78359","Davidson, G. L., Clayton, N. S. and Thornton, A.",2014,"Salient eyes deter conspecific nest intruders in wild jackdaws (Corvus monedula)","Biology Letters","10"," 2 ",""
"41795","Veyrunes, F., Dobigny, G., Yang, F. T., O'Brien, P. C. M., Catalan, J., Robinson, T. J. and Britton-Davidian, J.",2006,"Phylogenomics of the genus Mus (Rodentia; Muridae): extensive genome repatterning is not restricted to the house mouse","Proceedings of the Royal Society B-Biological Sciences","273","1604","2925-2934"
"76794","Stewart, J. S., Hazen, E. L., Bograd, S. J., Byrnes, J. E. K., Foley, D. G., Gilly, W. F., Robison, B. H. and Field, J. C.",2014,"Combined climate- and prey-mediated range expansion of Humboldt squid (Dosidicus gigas), a large marine predator in the California Current System","Global Change Biology","20"," 6 ","1832-1843"
"43674","Joo, J., Gunny, M., Cases, M., Hudson, P., Albert, R. and Harvill, E.",2006,"Bacteriophage-mediated competition in Bordetella bacteria","Proceedings of the Royal Society B-Biological Sciences","273","1595","1843-1848"
"44675","Corkeron, P. J.",2006,"Opposing views of the ""Ecosystem approach"" to fisheries management","Conservation Biology","20","3","617-619"
